Z=0.020000 Y=0.275000 OS=0.000000 l/Hp=0.000000 [Fe/H]= 0.000000 [Alpha/Fe]= 0.000000
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
age(Gyr)= 0.002500  21 points
 0.075000  3.468324  0.000000  3.634725  11.585686  0.000000  0.000000  1.210392  2.930784  5.051216  5.736751  6.095792  0.000000  0.000000  0.000000  0.000000  0.000000
 0.080000  3.470811  0.000000  3.641176  11.464902  0.000000  0.000000  1.200392  2.910784  4.992235  5.677758  6.036378  0.000000  0.000000  0.000000  0.000000  0.000000
 0.090000  3.475677  0.000000  3.663170  11.251509  0.000000  0.000000  1.190566  2.871698  4.874993  5.570937  5.929556  0.000000  0.000000  0.000000  0.000000  0.000000
 0.100000  3.478705  0.000000  3.679630  11.095926  0.000000  0.000000  1.180741  2.842222  4.809264  5.505543  5.854225  0.000000  0.000000  0.000000  0.000000  0.000000
 0.110000  3.481042  0.000000  3.691887  10.969811  0.000000  0.000000  1.170566  2.831132  4.784229  5.480485  5.828372  0.000000  0.000000  0.000000  0.000000  0.000000
 0.130000  3.485366  0.000000  3.712346  10.724615  0.000000  0.000000  1.150769  2.791538  4.708155  5.414730  5.752298  0.000000  0.000000  0.000000  0.000000  0.000000
 0.150000  3.490140  0.000000  3.726000  10.492353  0.000000  0.000000  1.140588  2.751765  4.633952  5.340644  5.667698  0.000000  0.000000  0.000000  0.000000  0.000000
 0.175000  3.495234  0.000000  3.735902  10.244510  0.000000  0.000000  1.130000  2.730784  4.578128  5.295113  5.611224  0.000000  0.000000  0.000000  0.000000  0.000000
 0.200000  3.500621  0.000000  3.743000  9.995200  0.000000  0.000000  1.100400  2.690800  4.499469  5.227178  5.532565  0.000000  0.000000  0.000000  0.000000  0.000000
 0.250000  3.512114  0.000000  3.752098  9.555294  0.000000  0.000000  1.070000  2.630784  4.373814  5.122575  5.406911  0.000000  0.000000  0.000000  0.000000  0.000000
 0.300000  3.521912  0.000000  3.757231  9.183077  0.000000  0.000000  1.030769  2.572308  4.254146  5.033469  5.287242  0.000000  0.000000  0.000000  0.000000  0.000000
 0.350000  3.529353  0.000000  3.761200  8.886800  0.000000  0.000000  1.000400  2.531600  4.189069  4.991474  5.222165  0.000000  0.000000  0.000000  0.000000  0.000000
 0.400000  3.535507  0.000000  3.765600  8.618600  0.000000  0.000000  0.970200  2.480800  4.126640  4.929596  5.148911  0.000000  0.000000  0.000000  0.000000  0.000000
 0.450000  3.540881  0.000000  3.767255  8.387255  0.000000  0.000000  0.950392  2.451569  4.053040  4.866302  5.075091  0.000000  0.000000  0.000000  0.000000  0.000000
 0.500000  3.545638  0.000000  3.770673  8.178776  0.000000  0.000000  0.930204  2.411020  3.998745  4.822633  5.009975  0.000000  0.000000  0.000000  0.000000  0.000000
 0.570000  3.552165  0.000000  3.774642  7.903208  0.000000  0.000000  0.900000  2.372264  3.893589  4.717400  4.894381  0.000000  0.000000  0.000000  0.000000  0.000000
 0.600000  3.554639  0.000000  3.776118  7.795294  0.000000  0.000000  0.890000  2.351765  3.865218  4.699106  4.865176  0.000000  0.000000  0.000000  0.000000  0.000000
 0.700000  3.563070  0.000000  3.783462  7.436538  0.000000  0.000000  0.840000  2.261538  3.723071  4.557288  4.712408  0.000000  0.000000  0.000000  0.000000  0.000000
 0.800000  3.570699  0.000000  3.791280  7.114600  0.000000  0.000000  0.800000  2.181800  3.590095  4.413622  4.558241  0.000000  0.000000  0.000000  0.000000  0.000000
 0.900000  3.578482  0.000000  3.812633  6.826327  0.000000  0.000000  0.770000  2.100816  3.450477  4.251831  4.385512  0.000000  0.000000  0.000000  0.000000  0.000000
 1.000000  3.585784  0.000000  3.809151  6.511509  0.000000  0.000000  0.740000  2.013774  3.297253  4.087404  4.210927  0.000000  0.000000  0.000000  0.000000  0.000000

age(Gyr)= 0.003200  21 points
 0.075000  3.469616  0.000000  3.752918  11.816000  0.000000  0.000000  1.209294  2.918941  8.480960  9.266385  9.397228  0.000000  0.000000  0.000000  0.000000  0.000000
 0.080000  3.472911  0.000000  3.763157  11.676265  0.000000  0.000000  1.199036  2.887590  4.600729  5.285719  5.644339  0.000000  0.000000  0.000000  0.000000  0.000000
 0.090000  3.478065  0.000000  3.779600  11.435647  0.000000  0.000000  1.179647  2.838588  4.451305  5.125782  5.484401  0.000000  0.000000  0.000000  0.000000  0.000000
 0.100000  3.480960  0.000000  3.790459  11.274941  0.000000  0.000000  1.169647  2.808941  4.420246  5.095101  5.453342  0.000000  0.000000  0.000000  0.000000  0.000000
 0.110000  3.483587  0.000000  3.797000  11.120000  0.000000  0.000000  1.160000  2.790000  4.711069  5.407011  5.744165  0.000000  0.000000  0.000000  0.000000  0.000000
 0.130000  3.488356  0.000000  3.808099  10.851975  0.000000  0.000000  1.139753  2.758765  4.443316  5.139250  5.476139  0.000000  0.000000  0.000000  0.000000  0.000000
 0.150000  3.492481  0.000000  3.816000  10.620000  0.000000  0.000000  1.130000  2.720000  4.571069  5.277743  5.604165  0.000000  0.000000  0.000000  0.000000  0.000000
