Z=0.018120 Y=0.266240 OS=0.20 l/Hp=1.743201 [Fe/H]=    0.000 [Alpha/Fe]= 0.00
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
age(Gyr)= 0.001  37 points
 0.4000000  3.5830 -0.2710  3.5949  6.802  1.235  1.338  0.907  1.832  2.970  3.795  3.971  4.096  4.870  1.5278E+02  4.6741E+02  9.1078E+02
 0.5527753  3.6090 -0.1566  3.7231  6.068  1.305  1.303  0.815  1.534  2.446  3.196  3.323  3.424  4.085  3.4663E+02  6.0113E+02  8.0045E+02
 0.7466305  3.6298  0.0516  3.7298  5.326  1.205  1.224  0.739  1.355  2.182  2.861  2.978  3.069  3.659  4.5213E+02  3.8332E+02  3.0822E+02
 1.0049051  3.6508  0.2562  3.7389  4.643  1.056  1.131  0.642  1.177  1.978  2.597  2.700  2.790  3.322  5.7752E+02  2.4658E+02  1.2223E+02
 1.3241543  3.6724  0.4518  3.7495  4.001  0.870  1.030  0.557  1.026  1.770  2.328  2.423  2.502  2.987  7.6348E+02  1.6714E+02  5.1818E+01
 1.7683859  3.6940  0.6448  3.7686  3.412  0.658  0.931  0.498  0.930  1.597  2.101  2.186  2.253  2.698  9.4522E+02  1.0837E+02  2.1280E+01
 2.2693738  3.7151  0.8397  3.7663  2.852  0.464  0.842  0.451  0.853  1.456  1.914  1.991  2.057  2.475  8.9493E+02  5.9216E+01  7.8386E+00
 2.6633173  3.7348  1.0436  3.7110  2.286  0.299  0.750  0.415  0.797  1.320  1.726  1.797  1.857  2.244  6.4317E+02  2.9100E+01  2.9297E+00
 2.9125476  3.7436  1.2160  3.6124  1.831  0.233  0.708  0.397  0.765  1.256  1.636  1.702  1.758  2.127  4.1629E+02  1.4981E+01  1.2808E+00
 3.0796053  3.7491  1.3444  3.5304  1.496  0.202  0.684  0.385  0.742  1.218  1.582  1.646  1.700  2.059  4.1900E+02  1.2797E+01  9.7489E-01
 3.3315523  3.7642  1.5682  3.4010  0.898  0.120  0.618  0.352  0.683  1.114  1.438  1.496  1.543  1.876  4.2109E+02  1.1023E+01  7.5349E-01
 3.5006978  3.7843  1.7444  3.3272  0.414  0.082  0.542  0.308  0.599  0.984  1.262  1.316  1.356  1.659  2.6954E+02  6.2564E+00  3.9273E-01
 3.6010965  3.8073  1.8642  3.3118  0.093  0.066  0.461  0.263  0.515  0.846  1.080  1.130  1.160  1.427  1.5867E+02  3.4288E+00  2.0465E-01
 3.6593657  3.8321  1.9402  3.3416 -0.094  0.063  0.381  0.220  0.435  0.708  0.902  0.946  0.967  1.191  1.0385E+02  2.1506E+00  1.2456E-01
 3.7049509  3.8564  2.0094  3.3751 -0.252  0.052  0.303  0.180  0.361  0.583  0.742  0.781  0.793  0.979  8.6186E+01  1.7313E+00  9.8159E-02
 3.7455514  3.8803  2.0759  3.4089 -0.406  0.047  0.228  0.140  0.288  0.456  0.582  0.615  0.617  0.767  7.9748E+01  1.5606E+00  8.6868E-02
 3.7846987  3.9037  2.1408  3.4419 -0.558  0.045  0.154  0.101  0.217  0.331  0.424  0.452  0.445  0.559  8.0241E+01  1.5315E+00  8.3769E-02
